payer_country_encoder,date,p10,p50,p90,mean
108,2023-04-04,0.0,0.0,0.0,4.8332998657226565
108,2023-04-05,0.0,0.0,0.0,25.26590000152588
108,2023-04-06,0.0,0.0,0.0,2.1350999450683594
108,2023-04-07,0.0,0.0,0.0,4.0152999114990235
108,2023-04-08,0.0,0.0,0.0,20.475700225830078
108,2023-04-09,0.0,0.0,0.0,21.451000366210938
108,2023-04-10,0.0,0.0,0.0,45.76510009765625
108,2023-04-11,0.0,0.0,0.0,3.5701998901367187
108,2023-04-12,0.0,0.0,0.0,0.0
108,2023-04-13,0.0,0.0,0.0,20.731800384521485
108,2023-04-14,0.0,0.0,0.0,13.591700286865235
108,2023-04-15,0.0,0.0,0.0,9.700399932861329
108,2023-04-16,0.0,0.0,0.0,14.546700286865235
108,2023-04-17,0.0,0.0,0.0,35.90270004272461
108,2023-04-18,0.0,0.0,0.0,6.118399810791016
108,2023-04-19,0.0,0.0,0.0,35.06520004272461
108,2023-04-20,0.0,0.0,0.0,31.768199920654297
108,2023-04-21,0.0,0.0,0.0,1.0
108,2023-04-22,0.0,0.0,0.0,17.623500061035156
108,2023-04-23,0.0,0.0,0.0,19.06309997558594
108,2023-04-24,0.0,0.0,0.0,34.33030014038086
108,2023-04-25,0.0,0.0,0.0,9.903499755859375
108,2023-04-26,0.0,0.0,0.0,100.26590000152588
108,2023-04-27,0.0,0.0,0.0,25.46830062866211
108,2023-04-28,0.0,0.0,0.0,15.821200065612793
108,2023-04-29,0.0,0.0,0.0,7.2803999710083005
108,2023-04-30,0.0,0.0,0.0,17.926700286865234
108,2023-05-01,0.0,0.0,0.0,70.5947998046875
108,2023-05-02,0.0,0.0,0.0,40.90070053100586
108,2023-05-03,0.0,0.0,0.0,0.0
108,2023-05-04,0.0,0.0,0.0,3.1350999450683594
108,2023-05-05,0.0,0.0,0.0,8.116399879455566
108,2023-05-06,0.0,0.0,0.0,12.055699653625489
108,2023-05-07,0.0,0.0,0.0,28.941600341796875
108,2023-05-08,0.0,0.0,0.0,18.5002001953125
108,2023-05-09,0.0,0.0,0.0,19.304400062561037
108,2023-05-10,0.0,0.0,0.0,53.10509998321533
108,2023-05-11,0.0,0.0,0.0,30.06019989013672
108,2023-05-12,0.0,0.0,0.0,3.8532999420166014
108,2023-05-13,0.0,0.0,0.0,21.833400230407715
108,2023-05-14,0.0,0.0,0.0,8.916500091552734
108,2023-05-15,0.0,0.0,0.0,35.363500061035154
108,2023-05-16,0.0,0.0,0.0,21.57010009765625
108,2023-05-17,0.0,0.0,0.0,19.41200038909912
108,2023-05-18,0.0,0.0,0.0,14.801700286865234
108,2023-05-19,0.0,0.0,0.0,15.910399932861328
108,2023-05-20,0.0,0.0,0.0,6.85020004272461
108,2023-05-21,0.0,0.0,0.0,10.516500244140625
108,2023-05-22,0.0,0.0,0.0,39.61510009765625
108,2023-05-23,0.0,0.0,0.0,27.301700286865234
108,2023-05-24,0.0,0.0,0.0,1.9250999450683595
108,2023-05-25,0.0,0.0,0.0,32.08839988708496
108,2023-05-26,0.0,0.0,0.0,4.978199920654297
108,2023-05-27,0.0,0.0,0.0,17.12550018310547
108,2023-05-28,0.0,0.0,0.0,10.021600036621093
108,2023-05-29,0.0,0.0,0.0,33.741800231933595
108,2023-05-30,0.0,0.0,0.0,16.768399810791017
108,2023-05-31,0.0,0.0,0.0,29.323600006103515
108,2023-06-01,0.0,0.0,0.0,4.775299873352051
108,2023-06-02,0.0,0.0,0.0,0.505099983215332
108,2023-06-03,0.0,0.0,0.0,18.303200187683107
108,2023-06-04,0.0,0.0,0.0,10.515400009155274
108,2023-06-05,0.0,0.0,0.0,1.1763999938964844
108,2023-06-06,0.0,0.0,0.0,16.538500061035155
108,2023-06-07,0.0,0.0,0.0,1.265900001525879
108,2023-06-08,0.0,0.0,0.0,11.666600341796874
108,2023-06-09,0.0,0.0,0.0,3.92510009765625
108,2023-06-10,0.0,0.0,0.0,11.625499877929688
108,2023-06-11,0.0,0.0,0.0,7.43020004272461
108,2023-06-12,0.0,0.0,0.0,14.41030014038086
108,2023-06-13,0.0,0.0,0.0,4.8332998657226565
108,2023-06-14,0.0,0.0,0.0,34.93620002746582
